Keywords,Utterance,Response
"hello, hi, greet","hello, hi, hey, greetings",Hello! I am your health assistant. How can I help you today?
"head, pain, ache","i have a headache, my head hurts","Rest in a dark room and stay hydrated. If it persists, consult a doctor."
"flu, cold, sick","how to prevent flu, avoid getting sick","Wash your hands frequently, eat vitamins, and get plenty of sleep."
"diet, food, eat",what is a healthy diet,"A balanced diet includes fruits, vegetables, lean proteins, and whole grains."
"sleep, tired, rest","i am always tired, i can't sleep",Aim for 7-9 hours of sleep. Try to limit screen time 1 hour before bed.
"fever, hot, temperature","i have a fever, my body feels hot","Drink plenty of fluids and rest. Use a cool compress. If temperature is very high, see a doctor."
"stress, anxiety, worry",i feel stressed and anxious,"Try deep breathing exercises or a short walk. If you feel overwhelmed, talk to a professional."
"exercise, gym, workout",how often should i exercise,Most experts recommend at least 150 minutes of moderate aerobic activity per week.
"muscle ache,joint aches,diarrhea","i feel dizzy ,am vomitting","This might be typhoid or cholera. So its good if you maintain your hygiene and cleaness arround your home."
"nausea, sick, vomit","i feel like throwing up","Try to sip water slowly and avoid heavy meals. If it continues, consider medical advice."
"cough, dry cough","i have a dry cough","Stay hydrated and consider warm fluids. If it persists more than a few days, consult a doctor."
"sore throat, throat pain","my throat hurts when i swallow","Gargle warm salt water and drink warm fluids."
"runny nose, congestion","my nose is blocked and runny","Use steam inhalation and stay hydrated."
"dizziness, lightheaded","i feel lightheaded when i stand","Sit or lie down immediately and hydrate. If frequent, seek medical help."
"cold prevention, flu prevention","how do i avoid getting sick","Wash hands regularly, eat well, sleep enough, and avoid sick contacts."
"covid symptoms, coronavirus","what are covid symptoms","Common symptoms include fever, cough, and fatigue. Consider testing if exposed."
"food poisoning","i think i ate bad food","Stay hydrated and rest. Seek help if severe dehydration occurs."
"depression, sad","i feel very sad lately","You’re not alone. Consider talking to someone you trust or a professional."
"panic attack","i think i'm having a panic attack","Try slow deep breathing and grounding techniques."
"overthinking","i can't stop thinking too much","Try mindfulness or writing your thoughts down."
"how are you","how are you doing","I'm here to help you with your health questions!"
"thank you, thanks","thanks for your help","You're welcome! Stay healthy 😊"
"bye, goodbye","see you later","Take care! I'm here whenever you need help."
"emergency, severe pain","i have severe chest pain","Seek immediate medical attention or call emergency services."
"bleeding, injury","i am bleeding heavily","Apply pressure and seek urgent medical care."
